Cycle	Time [s]	CoP X [cm]	CoP Y [cm]	Back Left Force [kgf]	Back Right Force [kgf]	Front Left Force [kgf]	Front Right Force [kgf]	Time Stamp [mSecs]	Low Noise Accelerometer X [m/(sec^2)]	Low Noise Accelerometer X [m/(sec^2)]	Low Noise Accelerometer Z [m/(sec^2)]	VSenseBatt [mVolts]	Gyroscope X [deg/sec]	Gyroscope Y [deg/sec]	Gyroscope Z [deg/sec]	Magnetometer X [local flux]	Magnetometer Y [local flux]	Magnetometer Z [local flux]
2384	6.038738e+01	-3.893245e+01	2.597465e+01	-3.020641e-02	3.371241e-01	3.000529e+01	-6.391075e-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2385	6.041399e+01	-3.660584e+01	2.582503e+01	1.107578e-01	4.801468e-01	2.852516e+01	2.409750e-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2386	6.043869e+01	-3.794734e+01	2.658041e+01	-1.006891e-01	4.086353e-01	2.873661e+01	-5.238585e-02	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2387	6.046510e+01	-3.945992e+01	2.821502e+01	4.027549e-02	6.231687e-01	2.612877e+01	9.429451e-02	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2388	6.048955e+01	-4.702046e+01	3.277991e+01	-1.006891e-01	-2.043164e-02	2.535346e+01	-4.190869e-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2389	6.051502e+01	-4.091656e+01	3.009433e+01	-2.416533e-01	4.801468e-01	2.563539e+01	1.676348e-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2390	6.053960e+01	-4.249814e+01	3.073520e+01	-5.235821e-01	5.107951e-02	2.711552e+01	-1.257260e-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2391	6.056480e+01	-3.838870e+01	2.656380e+01	-3.020641e-02	4.801468e-01	2.852516e+01	-1.990663e-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2392	6.058979e+01	-3.670726e+01	2.541927e+01	1.107578e-01	4.801468e-01	2.922999e+01	2.095433e-02	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2393	6.061446e+01	-3.480440e+01	2.402734e+01	4.027549e-02	6.946799e-01	3.071011e+01	2.095433e-02	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2394	6.063955e+01	-3.272446e+01	2.280154e+01	-1.006891e-01	1.123747e+00	3.176735e+01	9.429451e-02	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2395	6.066398e+01	-3.455271e+01	2.355973e+01	1.107578e-01	6.946799e-01	3.324747e+01	-1.990663e-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2396	6.068899e+01	-3.307804e+01	2.214045e+01	-1.006891e-01	8.377022e-01	3.444567e+01	-3.457467e-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2397	6.071405e+01	-3.478229e+01	2.285188e+01	1.812401e-01	6.231687e-01	3.296555e+01	-4.924271e-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2398	6.073895e+01	-3.479011e+01	2.390644e+01	-1.711710e-01	3.371241e-01	3.268362e+01	-5.238585e-02	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2399	6.076502e+01	-3.363433e+01	2.320583e+01	-2.416533e-01	4.801468e-01	3.359988e+01	2.095433e-02	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2400	6.079027e+01	-3.189614e+01	2.165808e+01	4.027549e-02	9.807245e-01	3.416374e+01	2.095433e-02	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2401	6.081647e+01	-3.277027e+01	2.213890e+01	1.812401e-01	5.516576e-01	3.402278e+01	9.429451e-02	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2402	6.084101e+01	-3.453039e+01	2.285840e+01	1.107578e-01	6.231687e-01	3.310651e+01	-4.190869e-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2403	6.086703e+01	-3.308498e+01	2.241047e+01	2.517224e-01	9.092134e-01	3.211976e+01	2.095433e-02	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2404	6.089133e+01	-3.257802e+01	2.304374e+01	-2.416533e-01	1.195258e+00	3.148542e+01	1.676348e-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2405	6.091695e+01	-3.208669e+01	2.257995e+01	-1.711710e-01	1.123747e+00	3.226072e+01	2.409750e-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2406	6.094270e+01	-3.301912e+01	2.248067e+01	-3.826179e-01	3.371241e-01	3.515049e+01	-1.257260e-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2407	6.096844e+01	-3.179951e+01	2.125168e+01	-3.020641e-02	9.092134e-01	3.585532e+01	-1.990663e-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2408	6.099391e+01	-3.188800e+01	2.173435e+01	-3.121352e-01	6.946799e-01	3.627821e+01	-5.238585e-02	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2409	6.101904e+01	-3.147973e+01	2.101596e+01	-3.020641e-02	7.661910e-01	3.691255e+01	-1.257260e-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2410	6.104428e+01	-3.117732e+01	2.037884e+01	3.926866e-01	8.377022e-01	3.684207e+01	-1.257260e-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2411	6.106905e+01	-3.207159e+01	2.218477e+01	-5.235821e-01	4.086353e-01	3.677158e+01	9.429451e-02	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2412	6.109353e+01	-3.202581e+01	2.144460e+01	-1.006891e-01	7.661910e-01	3.613725e+01	-1.990663e-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2413	6.111883e+01	-3.192245e+01	2.185482e+01	-2.416533e-01	7.661910e-01	3.543242e+01	2.095433e-02	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
